2019-Nov-03 15:03:22.941624 INFO [daemon] fedoragold v1.1.5.1()
2019-Nov-03 15:03:22.941707 INFO [daemon] Module folder: ./fedoragold_daemon
2019-Nov-03 15:03:22.942233 INFO [daemon] Initializing p2p server...
2019-Nov-03 15:03:23.840815 INFO [node_server] Binding on 0.0.0.0:30158
2019-Nov-03 15:03:23.840899 INFO [node_server] Net service binded on 0.0.0.0:30158
2019-Nov-03 15:03:23.840921 INFO [node_server] Attempting to add IGD port mapping.
2019-Nov-03 15:03:27.851616 INFO [node_server] No IGD was found.
2019-Nov-03 15:03:33.278812 INFO [Blockchain] Height 69000 of 1308374
2019-Nov-03 15:03:33.373761 INFO [Blockchain] Height 70000 of 1308374
2019-Nov-03 15:03:33.458070 INFO [Blockchain] Height 71000 of 1308374
2019-Nov-03 15:03:33.568448 INFO [Blockchain] Height 72000 of 1308374
2019-Nov-03 15:03:33.664591 INFO [Blockchain] Height 73000 of 1308374
2019-Nov-03 15:03:33.768386 INFO [Blockchain] Height 74000 of 1308374
2019-Nov-03 15:03:33.859534 INFO [Blockchain] Height 75000 of 1308374
2019-Nov-03 15:03:33.954023 INFO [Blockchain] Height 76000 of 1308374
2019-Nov-03 15:03:34.058586 INFO [Blockchain] Height 77000 of 1308374
2019-Nov-03 15:03:34.150832 INFO [Blockchain] Height 78000 of 1308374
2019-Nov-03 15:03:34.253407 INFO [Blockchain] Height 79000 of 1308374
2019-Nov-03 15:03:34.356970 INFO [Blockchain] Height 80000 of 1308374
2019-Nov-03 15:03:34.456217 INFO [Blockchain] Height 81000 of 1308374
2019-Nov-03 15:03:34.571739 INFO [Blockchain] Height 82000 of 1308374
2019-Nov-03 15:03:34.674076 INFO [Blockchain] Height 83000 of 1308374
2019-Nov-03 15:03:34.788305 INFO [Blockchain] Height 84000 of 1308374
2019-Nov-03 15:03:34.954913 INFO [Blockchain] Height 85000 of 1308374
2019-Nov-03 15:03:35.053610 INFO [Blockchain] Height 86000 of 1308374
2019-Nov-03 15:03:35.173143 INFO [Blockchain] Height 87000 of 1308374
2019-Nov-03 15:03:35.276360 INFO [Blockchain] Height 88000 of 1308374
2019-Nov-03 15:03:35.392807 INFO [Blockchain] Height 89000 of 1308374
2019-Nov-03 15:03:35.499073 INFO [Blockchain] Height 90000 of 1308374
2019-Nov-03 15:03:35.590500 INFO [Blockchain] Height 91000 of 1308374
2019-Nov-03 15:03:35.686990 INFO [Blockchain] Height 92000 of 1308374
2019-Nov-03 15:03:35.888613 INFO [Blockchain] Height 93000 of 1308374
2019-Nov-03 15:03:35.977975 INFO [Blockchain] Height 94000 of 1308374
2019-Nov-03 15:03:36.073624 INFO [Blockchain] Height 95000 of 1308374
2019-Nov-03 15:03:36.161541 INFO [Blockchain] Height 96000 of 1308374
2019-Nov-03 15:03:36.253801 INFO [Blockchain] Height 97000 of 1308374
2019-Nov-03 15:03:36.346942 INFO [Blockchain] Height 98000 of 1308374
2019-Nov-03 15:03:36.485234 INFO [Blockchain] Height 99000 of 1308374
2019-Nov-03 15:03:36.593804 INFO [Blockchain] Height 100000 of 1308374
2019-Nov-03 15:03:36.697701 INFO [Blockchain] Height 101000 of 1308374
2019-Nov-03 15:03:36.794659 INFO [Blockchain] Height 102000 of 1308374
2019-Nov-03 15:03:37.173048 INFO [Blockchain] Height 103000 of 1308374
2019-Nov-03 15:03:37.311289 INFO [Blockchain] Height 104000 of 1308374
2019-Nov-03 15:03:37.428356 INFO [Blockchain] Height 105000 of 1308374
2019-Nov-03 15:03:37.553217 INFO [Blockchain] Height 106000 of 1308374
2019-Nov-03 15:03:37.671273 INFO [Blockchain] Height 107000 of 1308374
2019-Nov-03 15:03:37.808019 INFO [Blockchain] Height 108000 of 1308374
2019-Nov-03 15:03:37.923887 INFO [Blockchain] Height 109000 of 1308374
2019-Nov-03 15:03:38.042233 INFO [Blockchain] Height 110000 of 1308374
2019-Nov-03 15:03:38.160932 INFO [Blockchain] Height 111000 of 1308374
2019-Nov-03 15:03:38.284672 INFO [Blockchain] Height 112000 of 1308374
2019-Nov-03 15:03:38.540943 INFO [Blockchain] Height 113000 of 1308374
2019-Nov-03 15:03:38.636188 INFO [Blockchain] Height 114000 of 1308374
2019-Nov-03 15:03:38.742849 INFO [Blockchain] Height 115000 of 1308374
2019-Nov-03 15:03:38.846228 INFO [Blockchain] Height 116000 of 1308374
2019-Nov-03 15:03:38.946525 INFO [Blockchain] Height 117000 of 1308374
2019-Nov-03 15:03:39.059229 INFO [Blockchain] Height 118000 of 1308374
2019-Nov-03 15:03:39.156717 INFO [Blockchain] Height 119000 of 1308374
2019-Nov-03 15:03:39.261237 INFO [Blockchain] Height 120000 of 1308374
2019-Nov-03 15:03:39.366943 INFO [Blockchain] Height 121000 of 1308374
2019-Nov-03 15:03:39.469693 INFO [Blockchain] Height 122000 of 1308374
2019-Nov-03 15:03:39.575451 INFO [Blockchain] Height 123000 of 1308374
